SYS.STBR-NAME,MAKE,DTL-6,DTL-CAT,TRANS-DATE,DOROTHY HILL,TRANS #,PART #,DESC,Ideal Components,TRANS-TYPE,TRANS-QTY,Central Supply,SALE,SRC-CAT,USER-ID,INV-NO,BIN1-DR,ADV-NO,CTRMN,CUST-NO,CUST-PO,PART-NO
Delta Dealer,HP,,,06/16/25,09:16,522-58705,FAKE_1,0W20VAL/MAXLIFE,,SLS,5,2.52,5.34,18,143825NISAAC,FAKE_9,BULK,141866,143825,379879,,HPSAE020
Delta Dealer,HP,,,06/16/25,11:42,522-87604,08718-0004-50,Modern Cars,,SLS,1,0.14,0.24,6,144285BRIVER,FAKE_10,SPORD,145747,144285,535884,,HP08718-0004-50
Delta Dealer,HP, ,  Z      P,06/16/25,12:56,522-99452,FS020-BAS-N0L,"OIL, FULLSYN (0W20)",NO,PUR,"2,540",2.98,,18,19318WSAIN,,BULK,,,,,HPFS020-BAS-N0L
Delta Dealer,HP,,,06/16/25,13:06,523-11966,62890-6GP0A,EMBLEM,IO,PUR,1,91.88,0.00,6,141328DMILLE,FAKE_1,,112803,296430,,,HP62890-6GP0A
Delta Dealer,HP,,,06/16/25,13:31,523-13558,PPF,MARK GREEN,,SLS,1,30.00,51.00,19,101255JMCMAH,FAKE_13,PPF,451708,161529,999006,,HPPPF
Delta Dealer,HP, ,  AY     P,06/16/25,13:31,523-16766,94109-14000,"WASHER, DRAIN (14MM)",,SLS,1,0.38,2.69,12,143825NISAAC,FAKE_3,CTR,136057,143825,25716,,HP94109-14000
Delta Dealer,HP, ,  BY     P,06/16/25,06:42,523-17011,71593-TA0-A00,"SPACER, R. RR.",,SLS,1,6.62,6.95,5,25957CHAGLER,463568,511B,,206,368452,33818,HP71593-TA0-A00
Delta Dealer,HP, ,  Z      P,06/16/25,12:21,523-33632,32117-THR-AD0,"HARN, INSTRUMENT",,RET,1,"1,030.27",,6,120982MWERTZ,,SPORD,,,,,HP32117-THR-AD0
Delta Dealer,HP, ,  Z      P,06/16/25,10:16,523-34867,74171-TA0-A00,"BRACKET, R. (UPPER)",,ADD,0,7.99,,6,141331JCUARE,,SPORD,,,,,HP74171-TA0-A00
Delta Dealer,HP, ,  AY     P,06/16/25,07:44,523-34870,04717-TLA-A00ZZ,"FACE, L. RR. BUMPER",,SLS,1,171.68,170.00,5,141331JCUARE,463598,553D,,141331,999022,76088,HP04717-TLA-A00ZZ
Delta Dealer,HP, ,  AY     P,06/16/25,08:26,523-42679,04711-TG7-A50ZZ,"FACE, FR. BUMPER",SP,SLS,1,259.05,281.54,6,102391CSLOOP,FAKE_16,736B,109921,254459,232695,,HP04711-TG7-A50ZZ
Delta Dealer,HP, ,  AY     P,06/16/25,10:58,523-42894,15400-PLM-A02,"FILTER, OIL",,SLS,1,5.62,11.93,12,144626IMUNOZ,FAKE_17,301,140059,577572,555349,,HP15400-PLM-A02
Delta Dealer,HP,,,06/16/25,08:49,523-47960,68430843-AC,BRACKET,IO,PUR,1,31.61,0.00,6,141328DMILLE,FAKE_15,,162678,254459,,,HP68430843-AC
Delta Dealer,HP, ,  C      A,06/16/25,09:22,523-58705,08L02-THR-102,"RAIL, ROOF",,SLS,1,223.30,372.00,7,143825NISAAC,FAKE_18,564C,455515,143825,360834,,HP08L02-THR-102
Delta Dealer,HP,,,06/16/25,13:01,523-87604,BT2354019,RUTH CARTER,,SLS,4,83.12,134.12,11,144285BRIVER,FAKE_19,400TIR,301595,144285,100,,HPBT2354019
Delta Dealer,HP,,,06/16/25,13:06,524-11966,62030-6GP0A,BAR,IO,SLS,1,424.96,643.87,6,141328DMILLE,FAKE_1,,112803,296430,596705,,HP62030-6GP0A
Delta Dealer,HP,,,06/16/25,13:38,524-13558,59-0023,CAP,,SLS,1,5.00,41.00,19,101255JMCMAH,FAKE_20,SHOP,451708,161529,999006,,HP59-0023
Delta Dealer,HP, ,  AY     P,06/16/25,13:31,524-16766,15400-PLM-A02,"FILTER, OIL",,RV,-1,5.62,12.30,12,143825NISAAC,FAKE_3,301,136057,143825,25716,,HP15400-PLM-A02
Delta Dealer,HP, ,  C      P,06/16/25,06:42,524-17011,74401-TA5-A00,"TAPE, R.",,SLS,1,3.41,3.99,8,25957CHAGLER,463568,199G,,206,368452,33818,HP74401-TA5-A00
